一次变更日期,三次变更日期,二次变更日期,实际披露时间,股票代码,股票简称,首次预约时间
2018-02-01T00:00:00,-,-,2018-02-01T00:00:00,002258,利尔化学,2018-02-03T00:00:00
-,-,-,2018-02-06T00:00:00,300451,创业软件,2018-02-06T00:00:00
-,-,-,2018-02-26T00:00:00,600844,丹化科技,2018-02-26T00:00:00
2018-03-13T00:00:00,-,-,-,000301,东方市场,2018-02-27T00:00:00
-,-,-,2018-02-27T00:00:00,000420,吉林化纤,2018-02-27T00:00:00
-,-,-,2018-02-28T00:00:00,300677,英科医疗,2018-02-28T00:00:00
-,-,-,2018-02-28T00:00:00,300590,移为通信,2018-02-28T00:00:00
-,-,-,2018-02-28T00:00:00,300700,岱勒新材,2018-02-28T00:00:00
2018-03-27T00:00:00,-,-,-,601519,*ST智慧,2018-03-10T00:00:00
-,-,-,2018-03-10T00:00:00,002286,保龄宝,2018-03-10T00:00:00
-,-,-,2018-03-10T00:00:00,601137,博威合金,2018-03-10T00:00:00
2018-04-12T00:00:00,-,-,-,000655,金岭矿业,2018-03-10T00:00:00
-,-,-,2018-03-10T00:00:00,002379,宏创控股,2018-03-10T00:00:00
-,-,-,2018-03-10T00:00:00,002056,横店东磁,2018-03-10T00:00:00
-,-,-,2018-03-10T00:00:00,000514,渝开发,2018-03-10T00:00:00
2018-03-26T00:00:00,-,-,-,600877,*ST嘉陵,2018-03-10T00:00:00
-,-,-,2018-02-06T00:00:00,002741,光华科技,2018-02-06T00:00:00
-,-,-,2018-02-07T00:00:00,600961,株冶集团,2018-02-07T00:00:00
-,-,-,2018-02-08T00:00:00,600733,SST前锋,2018-02-08T00:00:00
-,-,-,2018-02-08T00:00:00,600816,安信信托,2018-02-08T00:00:00
-,-,-,2018-02-08T00:00:00,600527,江南高纤,2018-02-08T00:00:00
2018-02-27T00:00:00,-,-,2018-02-27T00:00:00,000818,方大化工,2018-02-08T00:00:00
-,-,-,2018-02-09T00:00:00,300476,胜宏科技,2018-02-09T00:00:00
-,-,-,2018-02-28T00:00:00,603127,昭衍新药,2018-02-28T00:00:00
-,-,-,2018-02-28T00:00:00,603826,坤彩科技,2018-02-28T00:00:00
-,-,-,2018-02-28T00:00:00,002740,爱迪尔,2018-02-28T00:00:00
-,-,-,2018-02-28T00:00:00,002349,精华制药,2018-02-28T00:00:00
-,-,-,2018-02-28T00:00:00,002597,金禾实业,2018-02-28T00:00:00
-,-,-,2018-03-10T00:00:00,600346,恒力股份,2018-03-10T00:00:00
-,-,-,2018-03-10T00:00:00,600338,西藏珠峰,2018-03-10T00:00:00
2018-03-24T00:00:00,-,-,-,600319,亚星化学,2018-03-10T00:00:00
2018-03-15T00:00:00,-,2018-03-17T00:00:00,-,600660,福耀玻璃,2018-03-10T00:00:00
-,-,-,2018-03-10T00:00:00,000739,普洛药业,2018-03-10T00:00:00
2018-04-03T00:00:00,-,-,-,300056,三维丝,2018-02-09T00:00:00
-,-,-,2018-02-09T00:00:00,000661,长春高新,2018-02-09T00:00:00
-,-,-,2018-02-09T00:00:00,600507,方大特钢,2018-02-09T00:00:00
-,-,-,2018-02-10T00:00:00,603078,江化微,2018-02-10T00:00:00
-,-,-,2018-02-10T00:00:00,002714,牧原股份,2018-02-10T00:00:00
-,-,-,2018-02-10T00:00:00,300193,佳士科技,2018-02-10T00:00:00
2018-03-10T00:00:00,-,2018-04-21T00:00:00,-,300008,天海防务,2018-02-10T00:00:00
-,-,-,2018-02-28T00:00:00,300146,汤臣倍健,2018-02-28T00:00:00
2018-03-01T00:00:00,-,-,2018-03-01T00:00:00,300102,乾照光电,2018-02-28T00:00:00
-,-,-,2018-02-28T00:00:00,002341,新纶科技,2018-02-28T00:00:00
2018-03-16T00:00:00,-,-,-,300275,梅安森,2018-02-28T00:00:00
-,-,-,2018-02-28T00:00:00,300033,同花顺,2018-02-28T00:00:00
2018-04-20T00:00:00,-,-,-,002575,群兴玩具,2018-02-28T00:00:00
-,-,-,2018-02-28T00:00:00,002262,恩华药业,2018-02-28T00:00:00
-,-,-,2018-02-28T00:00:00,300016,北陆药业,2018-02-28T00:00:00
2018-03-24T00:00:00,-,-,-,600714,金瑞矿业,2018-03-10T00:00:00
2018-03-01T00:00:00,-,-,2018-03-01T00:00:00,000050,深天马A,2018-03-10T00:00:00
-,-,-,2018-03-10T00:00:00,000910,大亚圣象,2018-03-10T00:00:00
-,-,-,2018-03-10T00:00:00,600378,天科股份,2018-03-10T00:00:00
-,-,-,2018-03-10T00:00:00,600207,安彩高科,2018-03-10T00:00:00
-,-,-,2018-03-10T00:00:00,600197,伊力特,2018-03-10T00:00:00
2018-03-24T00:00:00,-,-,-,600826,兰生股份,2018-03-10T00:00:00
-,-,-,2018-03-10T00:00:00,000026,飞亚达A,2018-03-10T00:00:00
-,-,-,2018-02-10T00:00:00,600722,金牛化工,2018-02-10T00:00:00
2018-02-01T00:00:00,-,-,2018-02-01T00:00:00,000613,*ST东海A,2018-02-10T00:00:00
-,-,-,2018-02-10T00:00:00,600301,ST南化,2018-02-10T00:00:00
-,-,-,2018-02-28T00:00:00,002162,悦心健康,2018-02-28T00:00:00
-,-,-,2018-02-28T00:00:00,002138,顺络电子,2018-02-28T00:00:00
-,-,-,2018-02-28T00:00:00,002084,海鸥住工,2018-02-28T00:00:00
-,-,-,2018-03-12T00:00:00,002649,博彦科技,2018-03-12T00:00:00
-,-,-,-,002916,深南电路,2018-03-13T00:00:00
-,-,-,-,300681,英搏尔,2018-03-13T00:00:00
-,-,-,2018-02-10T00:00:00,600664,哈药股份,2018-02-10T00:00:00
-,-,-,2018-02-10T00:00:00,600077,宋都股份,2018-02-10T00:00:00
2018-02-13T00:00:00,-,-,2018-02-13T00:00:00,600516,方大炭素,2018-02-10T00:00:00
-,-,-,2018-02-10T00:00:00,000888,峨眉山A,2018-02-10T00:00:00
-,-,-,2018-02-28T00:00:00,601005,重庆钢铁,2018-02-28T00:00:00
2018-03-30T00:00:00,-,-,-,600889,南京化纤,2018-02-28T00:00:00
2018-04-21T00:00:00,-,-,-,600880,博瑞传播,2018-02-28T00:00:00
-,-,-,2018-02-28T00:00:00,000683,远兴能源,2018-02-28T00:00:00
-,-,-,2018-02-28T00:00:00,600793,宜宾纸业,2018-02-28T00:00:00
-,-,-,-,300715,凯伦股份,2018-03-13T00:00:00
-,-,-,-,603536,惠发股份,2018-03-13T00:00:00
-,-,-,-,603677,奇精机械,2018-03-13T00:00:00
-,-,-,-,601878,浙商证券,2018-03-13T00:00:00
-,-,-,2018-01-19T00:00:00,300536,农尚环境,2018-01-19T00:00:00
-,-,-,2018-01-23T00:00:00,603618,杭电股份,2018-01-23T00:00:00
-,-,-,2018-03-01T00:00:00,002677,浙江美大,2018-03-01T00:00:00
2018-03-27T00:00:00,-,-,-,600794,保税科技,2018-03-03T00:00:00
-,-,-,2018-02-10T00:00:00,600423,*ST柳化,2018-02-10T00:00:00
-,-,-,2018-02-10T00:00:00,600360,华微电子,2018-02-10T00:00:00
-,-,-,2018-02-10T00:00:00,600219,南山铝业,2018-02-10T00:00:00
-,-,-,2018-02-28T00:00:00,600753,东方银星,2018-02-28T00:00:00
2018-03-21T00:00:00,-,-,-,000911,南宁糖业,2018-02-28T00:00:00
2018-04-03T00:00:00,-,-,-,600532,宏达矿业,2018-02-28T00:00:00
2018-03-23T00:00:00,-,-,-,600358,国旅联合,2018-02-28T00:00:00
-,-,-,2018-02-28T00:00:00,000953,*ST河化,2018-02-28T00:00:00
-,-,-,-,603033,三维股份,2018-03-13T00:00:00
-,-,-,-,603609,禾丰牧业,2018-03-13T00:00:00
2018-03-05T00:00:00,-,-,2018-03-05T00:00:00,002745,木林森,2018-03-13T00:00:00
-,-,-,-,300302,同有科技,2018-03-13T00:00:00
2018-03-27T00:00:00,-,-,-,600608,*ST沪科,2018-03-13T00:00:00
2018-04-23T00:00:00,-,-,-,000967,盈峰环境,2018-01-23T00:00:00
2018-04-26T00:00:00,-,-,-,300268,佳沃股份,2018-01-26T00:00:00
-,-,-,2018-01-27T00:00:00,603707,健友股份,2018-01-27T00:00:00
2018-04-26T00:00:00,-,-,-,002796,世嘉科技,2018-01-27T00:00:00
2018-04-12T00:00:00,-,-,-,000836,鑫茂科技,2018-03-03T00:00:00
-,-,-,2018-03-03T00:00:00,600830,香溢融通,2018-03-03T00:00:00
2018-03-24T00:00:00,-,-,-,600543,莫高股份,2018-03-03T00:00:00
2018-02-13T00:00:00,2018-02-28T00:00:00,2018-03-06T00:00:00,2018-02-28T00:00:00,300414,中光防雷,2018-02-12T00:00:00
-,-,-,2018-02-12T00:00:00,300495,美尚生态,2018-02-12T00:00:00
-,-,-,2018-02-12T00:00:00,300161,华中数控,2018-02-12T00:00:00
-,-,-,2018-02-13T00:00:00,603626,科森科技,2018-02-13T00:00:00
-,-,-,2018-02-13T00:00:00,603077,和邦生物,2018-02-13T00:00:00
-,-,-,2018-03-01T00:00:00,002845,同兴达,2018-03-01T00:00:00
-,-,-,2018-03-01T00:00:00,300413,快乐购,2018-03-01T00:00:00
-,-,-,2018-03-01T00:00:00,300301,长方集团,2018-03-01T00:00:00
-,-,-,-,601233,桐昆股份,2018-03-13T00:00:00
-,-,-,-,002233,塔牌集团,2018-03-13T00:00:00
2018-03-03T00:00:00,-,-,2018-03-03T00:00:00,000536,华映科技,2018-03-13T00:00:00
2018-04-24T00:00:00,-,-,-,002033,丽江旅游,2018-03-13T00:00:00
-,-,-,-,600711,盛屯矿业,2018-03-13T00:00:00
2018-03-29T00:00:00,-,-,-,600521,华海药业,2018-03-13T00:00:00
-,-,-,2018-01-30T00:00:00,002793,东音股份,2018-01-30T00:00:00
-,-,-,2018-01-30T00:00:00,300320,海达股份,2018-01-30T00:00:00
-,-,-,2018-01-30T00:00:00,600829,人民同泰,2018-01-30T00:00:00
-,-,-,2018-01-31T00:00:00,002189,利达光电,2018-01-31T00:00:00
-,-,-,2018-01-31T00:00:00,000410,沈阳机床,2018-01-31T00:00:00
-,-,-,2018-03-05T00:00:00,603018,中设集团,2018-03-05T00:00:00
-,-,-,2018-03-06T00:00:00,300650,太龙照明,2018-03-06T00:00:00
-,-,-,2018-03-06T00:00:00,603535,嘉诚国际,2018-03-06T00:00:00
-,-,-,2018-03-06T00:00:00,002326,永太科技,2018-03-06T00:00:00
2018-03-31T00:00:00,-,-,-,300044,赛为智能,2018-03-06T00:00:00
-,-,-,2018-02-13T00:00:00,002644,佛慈制药,2018-02-13T00:00:00
-,-,-,2018-02-13T00:00:00,300204,舒泰神,2018-02-13T00:00:00
-,-,-,2018-01-31T00:00:00,600696,ST匹凸,2018-01-31T00:00:00
2018-02-09T00:00:00,-,2018-04-25T00:00:00,-,600112,*ST天成,2018-01-31T00:00:00
2018-02-13T00:00:00,-,-,2018-02-13T00:00:00,000838,财信发展,2018-02-02T00:00:00
2018-02-01T00:00:00,-,-,2018-02-01T00:00:00,002258,利尔化学,2018-02-03T00:00:00
-,-,-,2018-02-06T00:00:00,300451,创业软件,2018-02-06T00:00:00
-,-,-,2018-03-06T00:00:00,300286,安科瑞,2018-03-06T00:00:00
-,-,-,2018-03-06T00:00:00,002374,丽鹏股份,2018-03-06T00:00:00
-,-,-,2018-03-06T00:00:00,601677,明泰铝业,2018-03-06T00:00:00
-,-,-,2018-03-06T00:00:00,002092,中泰化学,2018-03-06T00:00:00
-,-,-,2018-03-06T00:00:00,000790,泰合健康,2018-03-06T00:00:00
-,-,-,2018-03-06T00:00:00,600094,大名城,2018-03-06T00:00:00
-,-,-,2018-02-13T00:00:00,002245,澳洋顺昌,2018-02-13T00:00:00
-,-,-,2018-02-13T00:00:00,000737,*ST南风,2018-02-13T00:00:00
-,-,-,2018-02-06T00:00:00,002741,光华科技,2018-02-06T00:00:00
-,-,-,2018-02-07T00:00:00,600961,株冶集团,2018-02-07T00:00:00
-,-,-,2018-02-08T00:00:00,600733,SST前锋,2018-02-08T00:00:00
-,-,-,2018-02-08T00:00:00,600816,安信信托,2018-02-08T00:00:00
-,-,-,2018-02-08T00:00:00,600527,江南高纤,2018-02-08T00:00:00
2018-02-27T00:00:00,-,-,2018-02-27T00:00:00,000818,方大化工,2018-02-08T00:00:00
-,-,-,2018-03-07T00:00:00,002812,创新股份,2018-03-07T00:00:00
-,-,-,2018-03-07T00:00:00,603977,国泰集团,2018-03-07T00:00:00
-,-,-,2018-03-07T00:00:00,300041,回天新材,2018-03-07T00:00:00
2018-03-28T00:00:00,-,-,-,002493,荣盛石化,2018-03-07T00:00:00
2018-03-19T00:00:00,-,-,-,600655,豫园股份,2018-03-07T00:00:00
-,-,-,2018-03-07T00:00:00,002012,凯恩股份,2018-03-07T00:00:00
-,-,-,2018-02-13T00:00:00,600282,南钢股份,2018-02-13T00:00:00
-,-,-,2018-02-09T00:00:00,300476,胜宏科技,2018-02-09T00:00:00
2018-04-03T00:00:00,-,-,-,300056,三维丝,2018-02-09T00:00:00
-,-,-,2018-02-09T00:00:00,000661,长春高新,2018-02-09T00:00:00
-,-,-,2018-02-09T00:00:00,600507,方大特钢,2018-02-09T00:00:00
-,-,-,2018-02-10T00:00:00,603078,江化微,2018-02-10T00:00:00
-,-,-,2018-02-10T00:00:00,002714,牧原股份,2018-02-10T00:00:00
-,-,-,2018-02-10T00:00:00,300193,佳士科技,2018-02-10T00:00:00
-,-,-,2018-03-07T00:00:00,000822,山东海化,2018-03-07T00:00:00
-,-,-,2018-03-07T00:00:00,000022,深赤湾A,2018-03-07T00:00:00
-,-,-,2018-03-08T00:00:00,002877,智能自控,2018-03-08T00:00:00
-,-,-,2018-03-08T00:00:00,603926,铁流股份,2018-03-08T00:00:00
-,-,-,2018-03-08T00:00:00,603903,中持股份,2018-03-08T00:00:00
-,-,-,2018-03-08T00:00:00,300450,先导智能,2018-03-08T00:00:00
2018-04-03T00:00:00,-,-,-,300441,鲍斯股份,2018-03-08T00:00:00
-,-,-,2018-03-08T00:00:00,603311,金海环境,2018-03-08T00:00:00
2018-03-10T00:00:00,-,2018-04-21T00:00:00,-,300008,天海防务,2018-02-10T00:00:00
-,-,-,2018-02-10T00:00:00,600722,金牛化工,2018-02-10T00:00:00
2018-02-01T00:00:00,-,-,2018-02-01T00:00:00,000613,*ST东海A,2018-02-10T00:00:00
-,-,-,2018-02-10T00:00:00,600301,ST南化,2018-02-10T00:00:00
-,-,-,2018-02-10T00:00:00,600664,哈药股份,2018-02-10T00:00:00
-,-,-,2018-02-10T00:00:00,600077,宋都股份,2018-02-10T00:00:00
2018-03-22T00:00:00,-,-,-,300130,新国都,2018-03-08T00:00:00
-,-,-,2018-03-08T00:00:00,002391,长青股份,2018-03-08T00:00:00
2018-03-15T00:00:00,-,-,-,000652,泰达股份,2018-03-08T00:00:00
-,-,-,2018-03-08T00:00:00,002014,永新股份,2018-03-08T00:00:00
-,-,-,2018-03-08T00:00:00,600071,凤凰光学,2018-03-08T00:00:00
-,-,-,2018-03-08T00:00:00,600284,浦东建设,2018-03-08T00:00:00
2018-02-13T00:00:00,-,-,2018-02-13T00:00:00,600516,方大炭素,2018-02-10T00:00:00
-,-,-,2018-02-10T00:00:00,000888,峨眉山A,2018-02-10T00:00:00
-,-,-,2018-02-10T00:00:00,600423,*ST柳化,2018-02-10T00:00:00
-,-,-,2018-02-10T00:00:00,600360,华微电子,2018-02-10T00:00:00
-,-,-,2018-02-10T00:00:00,600219,南山铝业,2018-02-10T00:00:00
2018-02-13T00:00:00,2018-02-28T00:00:00,2018-03-06T00:00:00,2018-02-28T00:00:00,300414,中光防雷,2018-02-12T00:00:00
-,-,-,2018-02-12T00:00:00,300495,美尚生态,2018-02-12T00:00:00
-,-,-,2018-02-12T00:00:00,300161,华中数控,2018-02-12T00:00:00
-,-,-,2018-03-09T00:00:00,603103,横店影视,2018-03-09T00:00:00
-,-,-,2018-03-09T00:00:00,603305,旭升股份,2018-03-09T00:00:00
-,-,-,2018-03-09T00:00:00,603138,海量数据,2018-03-09T00:00:00
2018-03-02T00:00:00,-,-,2018-03-02T00:00:00,603615,茶花股份,2018-03-09T00:00:00
2018-04-04T00:00:00,-,-,-,002760,凤形股份,2018-03-09T00:00:00
-,-,-,2018-03-09T00:00:00,300559,佳发安泰,2018-03-09T00:00:00
2018-03-21T00:00:00,-,-,-,300436,广生堂,2018-03-09T00:00:00
2018-04-11T00:00:00,-,-,-,002800,天顺股份,2018-03-09T00:00:00
-,-,-,2018-02-13T00:00:00,603626,科森科技,2018-02-13T00:00:00
-,-,-,2018-02-13T00:00:00,603077,和邦生物,2018-02-13T00:00:00
-,-,-,2018-02-13T00:00:00,002644,佛慈制药,2018-02-13T00:00:00
-,-,-,2018-02-13T00:00:00,300204,舒泰神,2018-02-13T00:00:00
-,-,-,2018-02-13T00:00:00,002245,澳洋顺昌,2018-02-13T00:00:00
-,-,-,2018-02-13T00:00:00,000737,*ST南风,2018-02-13T00:00:00
-,-,-,2018-02-13T00:00:00,600282,南钢股份,2018-02-13T00:00:00
-,-,-,2018-03-09T00:00:00,603518,维格娜丝,2018-03-09T00:00:00
-,-,-,2018-03-09T00:00:00,000795,英洛华,2018-03-09T00:00:00
2018-03-21T00:00:00,-,-,-,603167,渤海轮渡,2018-03-09T00:00:00
2018-04-28T00:00:00,-,-,-,002427,ST尤夫,2018-03-09T00:00:00
-,-,-,2018-03-09T00:00:00,601678,滨化股份,2018-03-09T00:00:00
-,-,-,2018-03-09T00:00:00,300239,东宝生物,2018-03-09T00:00:00
